"","V1"
"1",0.0919993673495738
"2",0.0044672149196785
"3",0.000212864563696389
"4",5.52549394284251e-05
"5",320.580943775605
"6",-98.6821120467201
"7",628.216842912635
"8",5.70119708061912e-05
"9",0.000117504145519052
"10",2.08372161854994e-06
"11",4.36872321503545e-06
"12",20.7475558212801
"13",30.486136057864
